trans_date,transaction_amount,co_fee,org_amount,co_fee_other
2020-06-30,62700,2700,60000,2700
2020-06-30,123600,3650,119950,3600
2020-06-30,52700,2700,50000,2700
2020-06-30,169600,3650,165950,3600
2020-06-30,54700,2700,52000,2700
2020-06-30,72700,2700,70000,2700
2020-06-30,306000,0,296000,5100
2020-06-30,77700,2700,75000,2700
2020-06-30,60700,2700,58000,2700
2020-06-30,169600,3650,165950,3600
2020-06-30,169600,3650,165950,3600
2020-06-30,227100,5300,221800,5100
2020-06-30,47300,2350,44950,2300
2020-06-30,65700,2700,63000,2700
2020-06-30,48300,2350,45950,2300
2020-06-30,84700,2700,82000,2700
2020-06-30,205100,0,195100,3600
2020-06-30,103600,0,93600,2700
2020-06-30,72700,2700,70000,2700
2020-06-30,42300,0,32300,1750
2020-06-30,56700,2700,54000,2700
2020-06-30,62700,2700,60000,2700
2020-06-30,52700,2700,50000,2700
2020-06-30,85700,2700,83000,2700
2020-06-30,169600,3650,165950,3600
2020-06-30,62700,2700,60000,2700
2020-06-30,21700,0,11700,1400
2020-06-30,74700,2700,72000,2700
2020-06-30,205100,0,195100,3600
2020-06-30,55700,2700,53000,2700
2020-06-30,92700,2700,90000,2700
2020-06-30,62700,2700,60000,2700
2020-06-30,169600,3650,165950,3600
2020-06-30,78700,2700,76000,2700
2020-06-30,103600,0,93600,2700
2020-06-30,42300,0,32300,1750
2020-06-30,106600,3650,102950,3600
2020-06-30,207100,5300,201800,5100
2020-06-30,92700,2700,90000,2700
2020-06-30,92700,2700,90000,2700
2020-06-30,92700,2700,90000,2700
2020-06-30,21700,0,11700,1400
2020-06-30,72700,2700,70000,2700
2020-06-30,103600,0,93600,2700
2020-06-30,306000,0,296000,5100
2020-06-30,103600,0,93600,2700
2020-06-30,62700,2700,60000,2700
2020-06-30,76700,2700,74000,2700
2020-06-30,62700,2700,60000,2700
2020-06-30,138600,3650,134950,3600
2020-06-30,134600,3650,130950,3600
2020-06-30,162600,3650,158950,3600
2020-06-30,213100,5300,207800,5100
2020-06-30,21700,0,11700,1400
2020-06-30,123600,3650,119950,3600
2020-06-30,54700,2700,52000,2700
2020-06-30,5850,0,-4150,0
2020-06-30,123600,3650,119950,3600
2020-06-30,48300,2350,45950,2300
2020-06-30,92700,2700,90000,2700
2020-06-30,62700,2700,60000,2700
2020-06-30,123600,3650,119950,3600
2020-06-30,21700,0,11700,1400
2020-06-30,31750,1850,29900,1700
2020-06-30,72700,2700,70000,2700
2020-06-30,103600,0,93600,2700
2020-06-30,72700,2700,70000,2700
2020-06-30,72700,2700,70000,2700
2020-06-30,205100,0,195100,3600
2020-06-30,316000,6500,309500,6000
2020-06-30,63700,2700,61000,2700
2020-06-30,92700,2700,90000,2700
2020-06-30,62700,2700,60000,2700
2020-06-30,71700,2700,69000,2700
2020-06-30,391000,6500,384500,6000
2020-06-30,183600,3650,179950,3600
2020-06-30,21700,0,11700,1400
2020-06-30,88700,2700,86000,2700
2020-06-30,16400,1450,14950,1400
2020-06-30,44300,2350,41950,2300
2020-06-30,42300,0,32300,1750
2020-06-30,58700,2700,56000,2700
2020-06-30,42300,0,32300,1750
2020-06-30,72700,2700,70000,2700
2020-06-30,72700,2700,70000,2700
2020-06-30,119600,3650,115950,3600
2020-06-30,169600,3650,165950,3600
2020-06-30,46300,2350,43950,2300
2020-06-30,88700,2700,86000,2700
2020-06-30,192600,3650,188950,3600
2020-06-30,21700,0,11700,1400
2020-06-30,92700,2700,90000,2700
2020-06-30,130600,3650,126950,3600
2020-06-30,169600,3650,165950,3600
2020-06-30,76700,2700,74000,2700
2020-06-30,21700,0,11700,1400
2020-06-30,245100,5300,239800,5100
2020-06-30,63700,2700,61000,2700
2020-06-30,68700,2700,66000,2700
2020-06-30,21700,0,11700,1400
2020-06-30,54700,2700,52000,2700
2020-06-30,46300,2350,43950,2300
2020-06-30,50300,2350,47950,2300
2020-06-30,1358000,8000,1350000,8000
2020-06-30,82700,2700,80000,2700
2020-06-30,21700,0,11700,1400
2020-06-30,245100,5300,239800,5100
2020-06-30,70700,2700,68000,2700
2020-06-30,75700,2700,73000,2700
2020-06-30,306000,0,296000,5100
2020-06-30,66700,2700,64000,2700
2020-06-30,72700,2700,70000,2700
2020-06-30,48300,2350,45950,2300
2020-06-30,103600,0,93600,2700
2020-06-30,92700,2700,90000,2700
2020-06-30,133600,3650,129950,3600
2020-06-30,169600,3650,165950,3600
2020-06-30,47300,2350,44950,2300
2020-06-30,205100,0,195100,3600
2020-06-30,83700,2700,81000,2700
2020-06-30,80700,2700,78000,2700
2020-06-30,11400,0,1400,300
2020-06-30,169600,3650,165950,3600
2020-06-30,128600,3650,124950,3600
2020-06-30,62700,2700,60000,2700
2020-06-30,42300,0,32300,1750
2020-06-30,82700,2700,80000,2700
2020-06-30,60700,2700,58000,2700
2020-06-30,78700,2700,76000,2700
2020-06-30,31750,1850,29900,1700
2020-06-30,72700,2700,70000,2700
2020-06-30,48300,2350,45950,2300
2020-06-30,70700,2700,68000,2700
2020-06-30,31750,1850,29900,1700
2020-06-30,169600,3650,165950,3600
2020-06-30,72700,2700,70000,2700
2020-06-30,50300,2350,47950,2300
2020-06-30,21700,0,11700,1400
2020-06-30,169600,3650,165950,3600
2020-06-30,123600,3650,119950,3600
2020-06-30,103600,0,93600,2700
2020-06-30,205100,0,195100,3600
2020-06-30,123600,3650,119950,3600
2020-06-30,163600,3650,159950,3600
2020-06-30,123600,3650,119950,3600
2020-06-30,31750,1850,29900,1700
2020-06-30,46300,2350,43950,2300
2020-06-30,133600,3650,129950,3600
2020-06-30,169600,3650,165950,3600
2020-06-30,103600,0,93600,2700
2020-06-30,64700,2700,62000,2700
2020-06-30,103600,0,93600,2700
2020-06-30,205100,0,195100,3600
2020-06-30,52700,2700,50000,2700
2020-06-30,114600,3650,110950,3600
2020-06-30,103600,0,93600,2700
2020-06-30,169600,3650,165950,3600
2020-06-30,169600,3650,165950,3600
2020-06-30,88700,2700,86000,2700
